City Id,State,State Abbreviation,Municipality,Link
217,Maine,ME,South Portland,https://www.hrc.org/resources/municipalities/south-portland-me-3
218,Montana,MT,Billings,https://www.hrc.org/resources/municipalities/billings-mt-3
219,Montana,MT,Bozeman,https://www.hrc.org/resources/municipalities/bozeman-mt-3
220,Montana,MT,Butte Silver Bow,https://www.hrc.org/resources/municipalities/butte-silver-bow-mt-3
221,Montana,MT,Great Falls,https://www.hrc.org/resources/municipalities/great-falls-mt-3
222,Montana,MT,Helena,https://www.hrc.org/resources/municipalities/helena-mt-3
223,Montana,MT,Kalispell,https://www.hrc.org/resources/municipalities/kalispell-mt-3
224,Montana,MT,Missoula,https://www.hrc.org/resources/municipalities/missoula-mt-3
225,Montana,MT,Whitefish,https://www.hrc.org/resources/municipalities/whitefish-mt-3
226,Nebraska,NE,Bellevue,https://www.hrc.org/resources/municipalities/bellevue-ne-3
227,Nebraska,NE,Fremont,https://www.hrc.org/resources/municipalities/fremont-ne-3
228,Nebraska,NE,Grand Island,https://www.hrc.org/resources/municipalities/grand-island-ne-3
229,Nebraska,NE,Kearney,https://www.hrc.org/resources/municipalities/kearney-ne-3
230,Nebraska,NE,Lincoln,https://www.hrc.org/resources/municipalities/lincoln-ne-3
231,Nebraska,NE,North Platte,https://www.hrc.org/resources/municipalities/north-platte-ne-3
232,Nebraska,NE,Omaha,https://www.hrc.org/resources/municipalities/omaha-ne-3
233,Nevada,NV,Carson City,https://www.hrc.org/resources/municipalities/carson-city-nv-3
234,Nevada,NV,Elko,https://www.hrc.org/resources/municipalities/elko-nv-3
235,Nevada,NV,Enterprise Clark County,https://www.hrc.org/resources/municipalities/enterprise-clark-county-nv-3
236,Nevada,NV,Henderson,https://www.hrc.org/resources/municipalities/henderson-nv-3
237,Nevada,NV,Las Vegas,https://www.hrc.org/resources/municipalities/las-vegas-nv-3
238,Nevada,NV,Mesquite,https://www.hrc.org/resources/municipalities/mesquite-nv-3
239,Nevada,NV,North Las Vegas,https://www.hrc.org/resources/municipalities/north-las-vegas-nv-3
240,Nevada,NV,Paradise Clark County,https://www.hrc.org/resources/municipalities/paradise-clark-county-nv-3
241,Nevada,NV,Reno,https://www.hrc.org/resources/municipalities/reno-nv-3
242,Nevada,NV,Sparks,https://www.hrc.org/resources/municipalities/sparks-nv-3
243,New Hampshire,NH,Concord,https://www.hrc.org/resources/municipalities/concord-nh-3
244,New Hampshire,NH,Derry,https://www.hrc.org/resources/municipalities/derry-nh-3
245,New Hampshire,NH,Dover,https://www.hrc.org/resources/municipalities/dover-nh-3
246,New Hampshire,NH,Durham,https://www.hrc.org/resources/municipalities/durham-nh-3
247,New Hampshire,NH,Keene,https://www.hrc.org/resources/municipalities/keene-nh-3
248,New Hampshire,NH,Manchester,https://www.hrc.org/resources/municipalities/manchester-nh-3
249,New Hampshire,NH,Nashua,https://www.hrc.org/resources/municipalities/nashua-nh-3
250,New Hampshire,NH,Plymouth,https://www.hrc.org/resources/municipalities/plymouth-nh-3
251,New Hampshire,NH,Portsmouth,https://www.hrc.org/resources/municipalities/portsmouth-nh-3
252,New Hampshire,NH,Rochester,https://www.hrc.org/resources/municipalities/rochester-nh-3
253,New Jersey,NJ,Asbury Park,https://www.hrc.org/resources/municipalities/asbury-park-nj-3
254,New Jersey,NJ,Elizabeth,https://www.hrc.org/resources/municipalities/elizabeth-nj-3
255,New Jersey,NJ,Hoboken,https://www.hrc.org/resources/municipalities/hoboken-nj-3
256,New Jersey,NJ,Jersey City,https://www.hrc.org/resources/municipalities/jersey-city-nj-3
257,New Jersey,NJ,Lambertville,https://www.hrc.org/resources/municipalities/lambertville-nj-3
258,New Jersey,NJ,Montclair,https://www.hrc.org/resources/municipalities/montclair-nj-3
259,New Jersey,NJ,New Brunswick,https://www.hrc.org/resources/municipalities/new-brunswick-nj-3
260,New Jersey,NJ,Newark,https://www.hrc.org/resources/municipalities/newark-nj-3
261,New Jersey,NJ,Ocean Grove Neptune,https://www.hrc.org/resources/municipalities/ocean-grove-neptune-nj-3
262,New Jersey,NJ,Paterson,https://www.hrc.org/resources/municipalities/paterson-nj-3
263,New Jersey,NJ,Princeton,https://www.hrc.org/resources/municipalities/princeton-nj-3
264,New Jersey,NJ,Trenton,https://www.hrc.org/resources/municipalities/trenton-nj-3
265,New Mexico,NM,Albuquerque,https://www.hrc.org/resources/municipalities/albuquerque-nm-3
266,New Mexico,NM,Eldorado At Santa Fe,https://www.hrc.org/resources/municipalities/eldorado-at-santa-fe-nm-3
267,New Mexico,NM,Farmington,https://www.hrc.org/resources/municipalities/farmington-nm-3
268,New Mexico,NM,Gallup,https://www.hrc.org/resources/municipalities/gallup-nm-3
269,New Mexico,NM,Las Cruces,https://www.hrc.org/resources/municipalities/las-cruces-nm-3
270,New Mexico,NM,Rio Rancho,https://www.hrc.org/resources/municipalities/rio-rancho-nm-3
271,New Mexico,NM,Roswell,https://www.hrc.org/resources/municipalities/roswell-nm-3
272,New Mexico,NM,Santa Fe,https://www.hrc.org/resources/municipalities/santa-fe-nm-3
273,New York,NY,Albany,https://www.hrc.org/resources/municipalities/albany-ny-3
274,New York,NY,Brookhaven,https://www.hrc.org/resources/municipalities/brookhaven-ny-3
275,New York,NY,Buffalo,https://www.hrc.org/resources/municipalities/buffalo-ny-3
276,New York,NY,Ithaca,https://www.hrc.org/resources/municipalities/ithaca-ny-3
277,New York,NY,New York,https://www.hrc.org/resources/municipalities/new-york-ny-3
