Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
90,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
91,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,2
92,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,43,Municipal Services,City provides services to/supports the transgender community,City,NA,2
93,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,10
94,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
95,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,5
96,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,3
97,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
98,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
99,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,0
100,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,2,Non-Discrimination Laws,Employment,State,Gender Identity,0
101,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
102,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
103,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,0
104,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,6,Non-Discrimination Laws,Employment,City,Gender Identity,0
105,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
106,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
107,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
108,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
109,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,0
110,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,12,Non-Discrimination Laws,Housing,City,Gender Identity,0
111,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
112,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,0
113,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
114,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
115,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,0
116,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,0
117,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,0
118,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
119,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,0
120,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,0
121,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
122,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
123,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,0
124,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,0
125,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,0
126,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,0
127,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,0
128,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,30,Municipality as Employer,Inclusive Workplace,City,NA,0
129,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,0
130,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,32,Municipal Services,Human Rights Commission,County,NA,0
131,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,33,Municipal Services,Human Rights Commission,City,NA,0
132,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
133,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,0
134,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,0
135,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
136,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,38,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Gender Identity,0
137,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,0
138,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,0
139,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
140,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,0
141,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,43,Municipal Services,City provides services to/supports the transgender community,City,NA,0
142,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,0
143,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
144,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,0
145,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,0
146,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
147,3,Florence,AL,https://www.hrc.org/resources/municipalities/florence-al-3,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
148,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,0
149,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,2,Non-Discrimination Laws,Employment,State,Gender Identity,0
150,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
151,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
152,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,0
153,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,6,Non-Discrimination Laws,Employment,City,Gender Identity,0
154,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
155,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
156,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
157,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
158,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,0
159,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,12,Non-Discrimination Laws,Housing,City,Gender Identity,0
160,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
161,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,0
162,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
163,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
164,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,0
165,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,0
166,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,0
167,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
168,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,0
169,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,0
170,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
171,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
172,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,0
173,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,0
174,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,0
175,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,0
176,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,0
177,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,30,Municipality as Employer,Inclusive Workplace,City,NA,0
178,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,0
179,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,32,Municipal Services,Human Rights Commission,County,NA,0
180,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,33,Municipal Services,Human Rights Commission,City,NA,0
181,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
182,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,0
183,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,0
184,4,Hoover,AL,https://www.hrc.org/resources/municipalities/hoover-al-3,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
