City Id,City,State,Non-Discrimination Laws,Municipality as Employer,Municipal Services,Law Enforcement,Leadership on LGBTQ+ Equality,Flex Points,Total Score
256,Jersey City,NJ,30,26,12,22,7,3,100
257,Lambertville,NJ,30,20,10,22,8,8,98
258,Montclair,NJ,30,26,12,22,8,2,100
259,New Brunswick,NJ,30,23,10,12,7,4,86
260,Newark,NJ,30,13,0,12,8,2,65
261,Ocean Grove Neptune,NJ,30,14,0,12,3,5,64
262,Paterson,NJ,30,0,0,12,3,2,47
263,Princeton,NJ,30,19,12,22,8,9,100
264,Trenton,NJ,30,22,0,12,7,4,75
265,Albuquerque,NM,30,22,12,22,5,9,100
266,Eldorado At Santa Fe,NM,30,0,0,0,0,9,39
267,Farmington,NM,30,16,0,22,3,4,75
268,Gallup,NM,30,7,0,12,0,4,53
